P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.02) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.02, 0.00) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.02, 0.01) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.02) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.00, 0.02) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.00, 0.01) pos = (0.05, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.00) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.02, 0.00) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.02, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.02, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.00, 0.02) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.00, 0.02) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.00) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.00, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.04, 0.03) Speed = (0.01, 0.02) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.01, 0.02) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.02, 0.01) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.04, 0.03) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.05, 0.03) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.05, 0.04) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.05, 0.04) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.06, 0.06) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.06, 0.06) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.06, 0.07) pos = (0.06, -0.07) theta = -0.01
P2P = (0.11, 0.07) Speed = (0.06, 0.06) pos = (0.06, -0.07) theta = -0.01
P2P = (0.10, 0.07) Speed = (0.07, 0.05) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.07) Speed = (0.06, 0.04) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.07) Speed = (0.06, 0.05) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.07) Speed = (0.06, 0.06) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.06, 0.06) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.06) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.05) pos = (0.06, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.06, 0.04) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.05) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.05) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.05) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.06, 0.05) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.04) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.05) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.04, 0.04) pos = (0.07, -0.07) theta = -0.02
P2P = (0.10, 0.06) Speed = (0.05, 0.04) pos = (0.07, -0.07) theta = -0.02
