 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.01, 0.01) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.01, 0.02) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.03, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.01, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.01, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.01, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.01, 0.03) pos = (0.15, 0.03) theta = 1.76
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.00, 0.03) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.00, 0.02) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.01, 0.02) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.00, 0.01) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.01, 0.02) pos = (0.15, 0.03) theta = 1.77
 Speed = (0.02, 0.03) pos = (0.15, 0.03) theta = 1.77
