P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.01) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.00) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.01) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.01, 0.03) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.01, 0.01) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.03) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.01) pos = (0.15, 0.02) theta = 1.72
P2P = (-0.00, 0.10) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.73
P2P = (-0.00, 0.10) Speed = (0.00, 0.02) pos = (0.15, 0.02) theta = 1.73
P2P = (-0.00, 0.10) Speed = (0.00, 0.01) pos = (0.15, 0.02) theta = 1.73
